DayCode1,Occupation1,Power1
0.3,3,2.342
0.3,3,1.262
0.3,3,0.852
0.3,3,2.34
0.3,3,2.336
0.3,3,2.334
0.3,3,2.33
0.3,3,1.038
0.3,3,0.386
0.3,3,2.35
0.3,3,2.346
0.3,3,2.346
0.3,3,1.834
0.3,3,1.222
0.3,3,2.342
0.3,3,2.334
0.3,3,1.666
0.3,3,1.198
0.3,3,2.35
0.3,3,2.398
0.3,3,2.444
0.3,3,0.406
0.3,3,2.434
0.3,3,2.502
0.3,3,2.518
0.3,3,1.516
0.3,3,1.498
0.3,3,2.508
0.3,3,2.504
0.3,3,2.492
0.3,3,0.814
0.3,3,2.304
0.3,3,2.53
0.3,3,2.378
0.3,3,0.384
0.3,3,2.37
0.3,3,2.358
0.3,3,2.352
0.35,3,0.416
0.35,3,2.654
0.35,3,2.54
0.35,3,2.526
0.35,3,1.206
0.35,3,3.844
0.35,3,4.122
0.35,3,3.458
0.35,3,1.988
0.35,3,0.596
0.35,3,1.29
0.35,3,2.73
0.35,3,2.734
0.35,3,2.764
0.35,3,2.586
0.35,3,1.044
0.35,3,1.52
0.35,3,3.038
0.35,3,2.974
0.35,3,2.846
0.35,3,2.848
0.35,3,2.858
0.35,3,2.472
0.35,3,0.658
0.35,3,0.838
0.35,3,2.608
0.35,3,2.598
0.35,3,2.56
0.35,3,2.526
0.35,3,2.472
0.35,3,1.658
0.35,3,0.422
0.35,3,0.79
0.35,3,2.436
0.35,3,2.396
0.35,3,2.338
0.35,3,2.304
0.35,3,0.276
0.35,3,0.712
0.35,3,2.332
0.35,3,2.344
0.35,3,2.354
0.35,3,2.332
0.35,3,2.368
0.35,3,0.612
0.35,3,0.286
0.35,3,1.952
0.35,3,2.376
0.35,3,2.374
0.35,3,2.406
0.35,3,1.004
0.35,3,0.388
0.35,3,1.458
0.35,3,2.48
0.35,3,2.454
0.35,3,2.468
0.35,3,2.028
0.35,3,0.382
0.35,3,0.902
0.35,3,2.466
0.35,3,2.456
0.35,3,2.45
0.35,3,2.448
0.35,3,0.93
0.35,3,0.286
0.35,3,1.376
0.35,3,2.456
0.35,3,2.456
0.35,3,2.444
0.35,3,2.122
0.35,3,0.356
0.35,3,0.952
0.35,3,2.426
0.35,3,2.42
0.35,3,2.412
0.35,3,1.008
0.35,3,0.43
0.35,3,2.676
0.35,3,3.766
0.35,3,4.582
0.35,3,5.282
0.35,3,2.362
0.35,3,3.25
0.35,3,4.618
0.35,3,5.242
0.35,3,4.86
0.35,3,3.738
0.35,3,3.426
0.35,3,5.254
0.35,3,5.246
0.35,3,5.216
0.35,3,3.858
0.35,3,2.822
0.35,3,3.84
0.35,3,4.636
0.35,3,4.634
0.7,3,4.652
0.7,3,3.13
0.7,3,1.756
0.7,3,3.478
0.7,3,4.5
0.7,3,3.552
0.7,3,3.94
0.7,3,2.44
0.7,3,2.08
0.7,3,3.652
0.7,3,4.432
0.7,3,4.46
0.7,3,2.186
0.7,3,2.358
0.7,3,3.954
0.7,3,3.746
0.7,3,3.944
0.7,3,3.68
0.7,3,1.67
0.7,3,3.214
0.7,3,4.5
0.7,3,3.8
0.7,3,2.664
0.7,3,2.528
0.7,3,2.668
0.7,3,4.256
0.7,3,4.126
0.7,3,3.216
0.7,3,0.574
0.7,3,2.344
0.7,3,3.804
0.7,3,4.622
0.7,3,3.218
0.7,3,0.774
0.7,3,0.572
0.7,3,1.952
0.7,3,2.608
0.7,3,2.6
0.7,3,2.568
0.7,3,1.334
0.7,3,0.362
0.7,3,1.238
0.7,3,2.448
0.7,3,2.426
0.7,3,1.794
0.7,3,0.288
0.7,3,0.608
0.7,3,2.426
0.7,3,2.442
0.7,3,2.428
0.7,3,0.674
0.7,3,0.306
0.7,3,2.09
0.7,3,2.508
0.7,3,2.228
0.7,3,0.308
0.7,3,0.29
0.7,3,2.442
0.7,3,2.514
0.7,3,2.506
0.7,3,0.388
0.7,3,0.538
0.7,3,2.496
0.7,3,2.47
0.7,3,2.448
0.7,3,0.82
0.7,3,0.308
0.7,3,2.45
0.7,3,2.432
0.7,3,2.444
0.7,3,1.97
0.7,3,0.256
0.7,3,0.508
0.7,3,2.37
0.7,3,2.352
0.7,3,2.14
0.7,3,0.212
0.7,3,0.992
0.7,3,2.362
0.7,3,2.384
0.7,3,1.928
0.7,3,0.218
0.7,3,0.656
0.7,3,2.398
0.7,3,2.412
0.7,3,1.672
0.7,3,0.226
0.7,3,1.632
0.7,3,2.352
0.7,3,2.328
0.7,3,0.732
0.7,3,0.206
0.7,3,2.332
0.7,3,2.39
0.7,3,2.476
0.7,3,0.604
0.8,3,0.38
0.8,3,1.774
0.8,3,2.52
0.8,3,2.542
0.8,3,2.228
0.8,3,0.59
0.8,3,1.354
0.8,3,2.734
0.8,3,2.734
0.8,3,2.002
0.8,3,0.472
0.8,3,0.876
0.8,3,2.324
0.8,3,2.342
0.8,3,2.326
0.8,3,0.302
0.8,3,0.208
0.8,3,2.022
0.8,3,2.356
0.8,3,2.346
0.8,3,2.24
0.8,3,0.224
0.8,3,0.424
0.8,3,2.344
0.8,3,2.308
0.8,3,2.338
0.8,3,1.48
0.8,3,0.222
0.8,3,0.82
0.8,3,2.352
0.8,3,2.312
0.8,3,2.324
0.8,3,0.232
0.8,3,0.342
0.8,3,1.94
0.8,3,2.456
0.8,3,2.448
0.8,3,1.838
0.8,3,0.32
0.8,3,1.154
0.8,3,2.442
0.8,3,2.41
0.8,3,2.282
0.8,3,0.32
0.8,3,0.812
0.8,3,2.446
0.8,3,2.426
0.8,3,2.41
0.8,3,0.436
0.8,3,0.492
0.8,3,2.424
0.8,3,2.392
0.8,3,2.382
0.8,3,0.754
0.8,3,0.412
0.8,3,2.354
0.8,3,2.412
0.8,3,2.426
0.8,3,1.384
0.8,3,0.292
0.8,3,1.33
0.8,3,2.396
0.8,3,2.422
0.8,3,2.402
0.8,3,0.43
0.8,3,0.666
0.8,3,2.42
0.8,3,2.39
0.8,3,2.446
0.8,3,0.978
0.8,3,0.4
0.8,3,2.432
0.8,3,2.5
0.8,3,2.52
0.8,3,0.788
0.8,3,0.402
0.8,3,2.238
0.8,3,2.512
0.8,3,2.486
0.8,3,1.936
0.8,3,0.376
0.8,3,0.908
0.8,3,2.336
