DayCode1,Occupation1,Power1
0.15,3,1.7427263
0.15,3,2.2652634
0.15,3,1.79906
0.15,3,1.6029788
0.15,3,1.7912001
0.15,3,1.679265
0.15,3,2.2485326
0.15,3,1.5602833
0.15,3,1.7235824
0.15,3,1.6528934
0.15,3,1.9853994
0.15,3,1.8858762
0.15,3,2.0254139
0.15,3,1.5984743
0.15,3,1.6616147
0.15,3,2.1597476
0.15,3,1.559771
0.15,3,1.4159779
0.15,3,1.7157088
0.15,3,1.8435604
0.15,3,2.2902112
0.15,3,1.7793086
0.15,3,1.1022617
0.15,3,0.95356289
0.15,3,2.602608
0.15,3,2.9795004
0.15,3,2.5975337
0.15,3,1.7472338
0.15,3,2.064414
0.15,3,2.2902244
0.15,3,2.5198259
0.15,3,1.70719
0.15,3,1.1478701
0.15,3,0.68043211
0.15,3,1.0568691
0.15,3,2.5945224
0.15,3,2.3220539
0.15,3,1.9780402
0.15,3,1.7010797
0.15,3,1.1127252
0.15,3,1.4352169
0.15,3,0.91879545
0.15,3,0.76430634
0.15,3,0.65853518
0.15,3,1.3046994
0.15,3,1.6973856
0.15,3,1.665087
0.15,3,0.68303385
0.15,3,1.9348911
0.15,3,1.3363303
0.15,3,1.2746164
0.15,3,1.3757171
0.15,3,0.52832937
0.15,3,0.83924944
0.15,3,1.3367841
0.15,3,0.95149144
0.15,3,1.6103317
0.15,3,1.0352924
0.15,3,0.53482153
0.15,3,1.5133798
0.15,3,1.3252053
0.15,3,1.268602
0.15,3,1.5906443
0.15,3,1.8711619
0.15,3,2.1454538
0.15,3,1.917562
0.15,3,2.9853031
0.15,3,3.3667681
0.15,3,3.099926
0.15,3,2.3389386
0.15,3,2.1363279
0.15,3,2.3084126
0.15,3,2.1271572
0.15,3,2.3113482
0.15,3,1.7469775
0.15,3,2.2123197
0.15,3,2.2982921
0.15,3,2.7313586
0.15,3,1.8394914
0.15,3,1.5428914
1,3,1.0567184
1,3,1.9021919
1,3,1.0663734
1,3,0.53954922
1,3,0.77557589
1,3,1.4079104
1,3,1.4606494
1,3,1.1029128
1,3,1.3743979
1,3,2.2085712
1,3,1.3235043
1,3,1.4368687
1,3,1.6619994
1,3,1.519605
1,3,1.844624
1,3,1.6956817
1,3,1.7285826
1,3,1.1671817
1,3,1.7812936
1,3,1.6596445
1,3,1.8208602
1,3,1.5598687
1,3,1.6721313
1,3,1.6126002
1,3,1.2406562
1,3,1.6311051
1,3,1.5288857
1,3,1.8034058
1,3,2.2761735
1,3,1.5747774
1,3,1.511042
1,3,1.0947996
1,3,2.3048083
1,3,2.3756202
1,3,1.7865909
1,3,1.8435338
1,3,2.148391
1,3,1.8654413
1,3,0.83261022
1,3,2.0655494
1,3,0.98979611
1,3,1.1810487
1,3,0.52729521
1,3,1.1339623
1,3,0.48383711
1,3,1.1616104
1,3,0.35154089
1,3,0.95525356
1,3,0.91677689
1,3,1.0073351
1,3,2.0831441
1,3,1.1427133
1,3,3.105366
1,3,1.8989053
1,3,0.942536
1,3,0.849865
1,3,1.2104781
1,3,1.1591351
1,3,0.68844456
1,3,1.3677427
1,3,0.84855578
1,3,2.8375128
1,3,2.232691
1,3,1.0825727
1,3,3.5709394
1,3,2.779342
1,3,2.1458322
1,3,1.1391446
1,3,1.082019
1,3,1.5406343
1,3,1.1041552
1,3,1.1418741
1,3,0.73753344
1,3,1.2136864
1,3,0.78942767
1,3,1.0661281
1,3,2.6729377
1,3,2.5707052
1,3,1.71732
1,3,1.1448832
1,3,1.2032262
1,3,2.4070342
1,3,1.904292
1,3,1.6940619
1,3,2.1538688
1,3,2.3381816
1,3,1.8222768
1,3,2.2482075
1,3,2.1783254
1,3,1.9171342
1,3,2.338513
1,3,1.5555358
1,3,2.1041674
1,3,2.0955807
1,3,1.8978868
1,3,1.7942788
0.25,3,1.0750159
0.25,3,0.95102956
0.25,3,0.63368022
0.25,3,1.6661201
0.25,3,0.96934438
0.25,3,0.42540821
0.25,3,0.75124033
0.25,3,1.3385335
0.25,3,2.0306087
0.25,3,1.0174492
0.25,3,1.3051804
0.25,3,1.578825
0.25,3,1.7477378
0.25,3,1.4017776
0.25,3,1.2894274
0.25,3,1.4880839
0.25,3,1.2214489
0.25,3,2.1006122
0.25,3,1.8034842
0.25,3,1.3289228
0.25,3,1.2771283
0.25,3,1.4670188
0.25,3,2.2356373
0.25,3,1.4353496
0.25,3,1.080864
0.25,3,1.0163198
0.25,3,1.4835832
0.25,3,2.0410762
0.25,3,1.5865608
0.25,3,1.1197206
0.25,3,0.991437
0.25,3,0.96160978
0.25,3,1.2789174
0.25,3,0.56387214
0.25,3,1.2522689
0.25,3,0.825734
0.25,3,0.79330633
0.25,3,1.249874
0.25,3,0.60354478
0.25,3,1.0738879
0.25,3,1.2628624
0.25,3,2.2993014
0.25,3,2.0996099
0.25,3,1.0329466
0.25,3,1.0514438
0.25,3,0.49397289
0.25,3,1.1855073
0.25,3,0.36925378
0.25,3,0.80973389
0.25,3,0.53572747
0.25,3,0.47092897
0.25,3,1.2604209
0.25,3,1.5848991
0.25,3,7.177989
0.25,3,2.367183
0.25,3,1.5063048
0.25,3,1.5353546
0.25,3,2.3058212
0.25,3,2.1897777
0.25,3,2.178212
0.25,3,1.12659
0.25,3,1.3609862
0.25,3,2.1613564
0.25,3,2.1736446
0.25,3,1.6302797
0.25,3,2.7737733
0.25,3,3.9790156
0.25,3,0.57755633
0.25,3,1.2385523
0.25,3,0.56354222
0.25,3,2.2748707
0.25,3,1.1878737
0.25,3,0.56533407
0.25,3,1.8311027
0.25,3,1.0620307
0.25,3,1.0571743
0.25,3,1.8859017
0.25,3,1.3260362
0.25,3,0.86529201
0.25,3,1.2713297
0.25,3,0.99597544
0.25,3,0.96877522
0.25,3,1.658771
0.25,3,2.1957764
0.25,3,1.5267793
0.25,3,1.6930002
0.25,3,2.1059337
0.25,3,1.5948567
0.25,3,1.6384954
0.25,3,2.0962905
0.25,3,1.6533635
0.25,3,2.1791392
0.25,3,3.2430513
